COUNTY,PRECINCT,POLL,ADDRESS,TYPE,Latitude,Longitude
FULTON,09G,NA,1429 Fairmont Ave NW,PRIVATELY OWNED PROPERTY,33.7935731,-84.4213698
FULTON,SS29A,1st Baptist Church of Sandy Springs,650 Mt. Vernon Highway,CHURCH,33.9285297,-84.3649317
HALL,20-WEST WHELCHEL,1ST UNITED METHODIST CHURCH,"2780 Thompson Bridge Rd, Gainesville, GA 30506",CHURCH,34.347468,-83.850588
FULTON,06N,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd NeFam Life Center,CHURCH,33.8295399,-84.3858232
FULTON,06Q,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd NeFam Life Center,CHURCH,33.8295399,-84.3858232
FULTON,07H,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd NeFam Life Center,CHURCH,33.8295399,-84.3858232
CLAYTON,RD04,A. Harper Elementary School,"93 Valley Hill Road S.W., Riverdale, GA",SCHOOL,33.5645552,-84.3893545
FULTON,JC05,Abbotts Hill Elementary School,5575 Abbotts Bridge Road,SCHOOL,34.0562935,-84.19708
FULTON,SS05,Abernathy Arts Center,"54 Johnson Ferry Rd, Sandy Springs, GA 30328",NEW CHANGE,33.9349974,-84.391697
FULTON,SS18A,Abernathy Arts Center,"54 Johnson Ferry Rd, Sandy Springs, GA 30328",NEW CHANGE,33.9349974,-84.391697
FULTON,SS18B,Abernathy Arts Center,"54 Johnson Ferry Rd, Sandy Springs, GA 30328",NEW CHANGE,33.9349974,-84.391697
COBB,ACWORTH 1B AC1B,ACWORTH BEACH HOUSE,"4425 BEACH HOUSE, ACWORTH, GA 30101",MUNICIPAL BUILDING,34.0614388,-84.6836504
FULTON,12L,Adams Park Library,"2231 Campbellton Road Atlanta, GA 30311",NEW CHANGE,33.7056856,-84.4616622
FULTON,11G,Adams Park Library,2231 Campbellton Road SW,LIBRARY,33.7056856,-84.4616622
FULTON,12I,Adams Park Library,2231 Campbellton Road SW,LIBRARY,33.7056856,-84.4616622
