"County","Year","Precinct","ElectionDay","%ElectionDay","AbsenteeMail","%AbsenteeMail","AdvanceInPerson","%AdvanceInPerson","Provisional","%Provisional"
"CHEROKEE",2012,"AIR ACRES",756,46.4373464373464,105,6.44963144963145,767,47.1130221130221,0,0
"CHEROKEE",2012,"ARNOLD MILL",1172,42.8362573099415,155,5.66520467836257,1407,51.4254385964912,2,0.0730994152046784
"CHEROKEE",2012,"AVERY",652,35.3963083604777,86,4.66883821932682,1104,59.9348534201954,0,0
"CHEROKEE",2012,"BALL GROUND",602,32.5229605618585,43,2.32306861156132,1206,65.1539708265802,0,0
"CHEROKEE",2012,"BASCOMB",1034,38.3246849518162,137,5.07783543365456,1527,56.5974796145293,0,0
"CHEROKEE",2012,"BELLS",1438,58.8861588861589,82,3.35790335790336,920,37.6740376740377,2,0.0819000819000819
"CHEROKEE",2012,"BOOTH",837,30.6032906764168,140,5.11882998171846,1758,64.2778793418647,0,0
"CHEROKEE",2012,"BRADSHAW",653,23.6765772298767,99,3.58955765047136,2006,72.7338651196519,0,0
"CHEROKEE",2012,"BRIDGEMILL",1197,39.375,189,6.21710526315789,1654,54.4078947368421,0,0
"CHEROKEE",2012,"CANTON",948,33.6886993603412,166,5.89907604832978,1697,60.3056147832267,3,0.106609808102345
"CHEROKEE",2012,"CARMEL",1025,49.2788461538462,103,4.95192307692308,949,45.625,3,0.144230769230769
"CHEROKEE",2012,"WOODSTOCK",841,35.8941527955612,145,6.18864703371746,1356,57.8745198463508,1,0.0426803243704652
"CHEROKEE",2012,"CLAYTON",651,39.7678680513134,70,4.27611484422724,916,55.9560171044594,0,0
"CHEROKEE",2012,"CONNS CREEK",265,55.3235908141962,7,1.46137787056367,207,43.2150313152401,0,0
"CHEROKEE",2012,"DEER RUN",913,49.3513513513514,82,4.43243243243243,855,46.2162162162162,0,0
"CHEROKEE",2012,"DIXIE",1395,46.4690206528981,139,4.63024650233178,1466,48.834110592938,2,0.0666222518321119
"CHEROKEE",2012,"FREEHOME",1556,49.1006626696119,168,5.30135689491953,1444,45.5664247396655,1,0.0315556958030925
"CHEROKEE",2012,"HICKORY FLAT",1069,36.3852961198094,102,3.4717494894486,1766,60.1089176310415,1,0.0340367597004765
"CHEROKEE",2012,"HIGHTOWER",853,43.7435897435897,65,3.33333333333333,1031,52.8717948717949,1,0.0512820512820513
"CHEROKEE",2012,"HILLSIDE",708,32.4919687930243,119,5.4612207434603,1352,62.0468104635154,0,0
"CHEROKEE",2012,"HOLLY SPRINGS",619,45.2154857560263,64,4.67494521548576,686,50.1095690284879,0,0
"CHEROKEE",2012,"KELLOGG",1420,52.709725315516,118,4.38010393466964,1155,42.8730512249443,1,0.0371195248700817
"CHEROKEE",2012,"LIBERTY",1676,40.8382066276803,155,3.77680311890838,2270,55.3118908382066,3,0.0730994152046784
"CHEROKEE",2012,"LITTLE RIVER",1687,44.5824524312896,287,7.5845665961945,1809,47.8065539112051,1,0.0264270613107822
"CHEROKEE",2012,"MACEDONIA",966,38.1969157769869,112,4.4286279161724,1451,57.3744563068406,0,0
"CHEROKEE",2012,"MOUNTAIN ROAD",809,41.1914460285132,100,5.09164969450102,1055,53.7169042769857,0,0
"CHEROKEE",2012,"NEESE",1902,48.4092644438789,240,6.10842453550522,1786,45.456859251718,1,0.0254517688979384
"CHEROKEE",2012,"OAK GROVE",1031,52.1761133603239,104,5.26315789473684,841,42.5607287449393,0,0
"CHEROKEE",2012,"R M MOORE",827,45.9955506117909,70,3.89321468298109,901,50.111234705228,0,0
"CHEROKEE",2012,"R T JONES",413,33.4142394822006,58,4.69255663430421,765,61.8932038834951,0,0
"CHEROKEE",2012,"ROSECREEK",988,39.3468737554759,119,4.73914774990044,1404,55.9139784946236,0,0
"CHEROKEE",2012,"SALACOA",280,72.5388601036269,20,5.18134715025907,86,22.279792746114,0,0
"CHEROKEE",2012,"SIXES",843,44.2984760903836,64,3.36311087756174,996,52.3384130320547,0,0
"CHEROKEE",2012,"SUTALLEE",777,56.0201874549387,51,3.67700072098053,558,40.2307137707282,1,0.0720980533525595
"CHEROKEE",2012,"TEASLEY",1696,41.4467253176931,192,4.69208211143695,2203,53.8367546432063,1,0.0244379276637341
"CHEROKEE",2012,"TOONIGH",1398,39.569770733088,165,4.6702519105576,1968,55.703368242287,2,0.0566091140673648
"CHEROKEE",2012,"UNION HILL",1093,46.3725074246924,115,4.87908358082308,1146,48.6211285532457,3,0.127280441238863
"CHEROKEE",2012,"UNIVETER",934,29.8688839142949,126,4.02942117045091,2066,66.0697153821554,1,0.0319795330988168
"CHEROKEE",2012,"VICTORIA",836,47.0985915492958,77,4.33802816901408,862,48.5633802816901,0,0
"CHEROKEE",2012,"WALESKA",675,46.6160220994475,78,5.38674033149171,695,47.9972375690608,0,0
"CHEROKEE",2012,"WILDCAT",862,44.2278091328887,72,3.69420215495126,1015,52.0779887121601,0,0
"CHEROKEE",2012,"WOODLANDS",1272,60.832137733142,103,4.92587278813965,716,34.2419894787183,0,0
"CLAYTON",2012,"ELLENWOOD",1031,28.9769533445756,119,3.34457560427206,2407,67.6503653738055,1,0.0281056773468241
"CLAYTON",2012,"FOREST PARK 1",760,57.9710144927536,41,3.12738367658276,509,38.8253241800153,1,0.07627765064836
"CLAYTON",2012,"FOREST PARK 2",702,56.3402889245586,41,3.29052969502408,502,40.2889245585875,1,0.0802568218298555
"CLAYTON",2012,"FOREST PARK 3",600,54.4959128065395,56,5.08628519527702,445,40.4178019981835,0,0
"CLAYTON",2012,"FOREST PARK 4",482,50.1039501039501,40,4.15800415800416,440,45.7380457380457,0,0
"CLAYTON",2012,"FOREST PARK 5",838,51.8885448916409,40,2.47678018575851,737,45.6346749226006,0,0
"CLAYTON",2012,"FOREST PARK 6",339,47.0180305131761,25,3.46740638002774,356,49.375866851595,1,0.13869625520111
"CLAYTON",2012,"JONESBORO 1",1021,39.2994611239415,96,3.69515011547344,1480,56.9668976135489,1,0.0384911470361817
"CLAYTON",2012,"JONESBORO 2",837,36.7588932806324,66,2.89855072463768,1374,60.3425559947299,0,0
"CLAYTON",2012,"JONESBORO 3",741,34.4972067039106,86,4.00372439478585,1321,61.4990689013035,0,0
"CLAYTON",2012,"JONESBORO 4",499,46.3754646840149,34,3.15985130111524,543,50.4646840148699,0,0
"CLAYTON",2012,"JONESBORO 5",524,44.5199660152931,58,4.92778249787596,595,50.5522514868309,0,0
"CLAYTON",2012,"JONESBORO 6",598,35.3636901241869,157,9.28444707273803,936,55.3518628030751,0,0
"CLAYTON",2012,"JONESBORO 7",659,35.1279317697228,80,4.26439232409382,1135,60.501066098081,2,0.106609808102345
"CLAYTON",2012,"JONESBORO 8",844,47.4157303370787,56,3.14606741573034,880,49.438202247191,0,0
"CLAYTON",2012,"JONESBORO 9",306,48.0376766091052,15,2.35478806907378,316,49.607535321821,0,0
"CLAYTON",2012,"JONESBORO 10",787,50.2233567326101,41,2.61646458200383,739,47.1601786853861,0,0
"CLAYTON",2012,"JONESBORO 11",916,39.7742075553626,91,3.95136778115502,1296,56.2744246634824,0,0
"CLAYTON",2012,"JONESBORO 12",639,43.2926829268293,40,2.710027100271,795,53.8617886178862,2,0.13550135501355
"CLAYTON",2012,"JONESBORO 13",442,42.5818882466281,29,2.79383429672447,567,54.6242774566474,0,0
"CLAYTON",2012,"JONESBORO 14",885,31.7545748116254,148,5.31036957301758,1754,62.935055615357,0,0
"CLAYTON",2012,"JONESBORO 15",565,44.175136825645,16,1.25097732603597,698,54.573885848319,0,0
"CLAYTON",2012,"JONESBORO 16",595,52.5618374558304,22,1.9434628975265,514,45.4063604240283,1,0.088339222614841
"CLAYTON",2012,"JONESBORO 17",1011,41.4514145141451,61,2.5010250102501,1367,56.0475604756048,0,0
"CLAYTON",2012,"JONESBORO 18",664,40.0966183574879,56,3.38164251207729,936,56.5217391304348,0,0
"CLAYTON",2012,"LAKE CITY",622,45.5010972933431,34,2.48719824433065,711,52.0117044623263,0,0
"CLAYTON",2012,"LOVEJOY 1",779,37.1837708830549,74,3.53221957040573,1242,59.2840095465394,0,0
"CLAYTON",2012,"LOVEJOY 2",536,31.7723770005928,52,3.0823947836396,1099,65.1452282157676,0,0
"CLAYTON",2012,"LOVEJOY 3",1026,32.2033898305085,121,3.79786566227244,2039,63.9987445072191,0,0
"CLAYTON",2012,"LOVEJOY 4",663,28.2970550576184,62,2.64618011096884,1617,69.0140845070423,1,0.0426803243704652
"CLAYTON",2012,"LOVEJOY 5",578,36.0799001248439,34,2.12234706616729,990,61.7977528089888,0,0
"CLAYTON",2012,"MORROW 1",791,51.9028871391076,49,3.21522309711286,684,44.8818897637795,0,0
"CLAYTON",2012,"MORROW 2",406,37.5925925925926,41,3.7962962962963,632,58.5185185185185,1,0.0925925925925926
"CLAYTON",2012,"MORROW 3",980,42.1143102707348,93,3.99656209712076,1254,53.8891276321444,0,0
"CLAYTON",2012,"MORROW 4",452,43.5452793834297,37,3.5645472061657,549,52.8901734104046,0,0
"CLAYTON",2012,"MORROW 5",711,24.6532593619972,101,3.50208044382802,2072,71.8446601941748,0,0
"CLAYTON",2012,"MORROW 6",624,39.9487836107554,47,3.0089628681178,891,57.0422535211268,0,0
"CLAYTON",2012,"MORROW 7",537,50.2338634237605,38,3.55472404115996,491,45.9307764265669,3,0.280636108512629
"CLAYTON",2012,"MORROW 8",509,30.3156640857653,40,2.38237045860631,1130,67.3019654556283,0,0
"CLAYTON",2012,"MORROW 9",304,38.6277001270648,26,3.30368487928844,457,58.0686149936468,0,0
"CLAYTON",2012,"OAK 1",679,59.3531468531469,19,1.66083916083916,446,38.986013986014,0,0
"CLAYTON",2012,"OAK 2",394,58.8938714499253,14,2.09267563527653,261,39.0134529147982,0,0
"CLAYTON",2012,"OAK 3",977,49.1448692152918,39,1.96177062374245,970,48.7927565392354,2,0.100603621730382
"CLAYTON",2012,"OAK 4",801,46.6783216783217,31,1.80652680652681,884,51.5151515151515,0,0
"CLAYTON",2012,"PANHANDLE 1",653,35.8988455195162,77,4.23309510720176,1089,59.868059373282,0,0
"CLAYTON",2012,"PANHANDLE 2",573,34.4765342960289,65,3.91095066185319,1024,61.6125150421179,0,0
"CLAYTON",2012,"RIVERDALE 1",477,31.4436387607119,47,3.0982201713909,993,65.4581410678972,0,0
"CLAYTON",2012,"RIVERDALE 2",746,42.3863636363636,48,2.72727272727273,965,54.8295454545455,1,0.0568181818181818
"CLAYTON",2012,"RIVERDALE 3",785,40.3598971722365,60,3.08483290488432,1099,56.5038560411311,1,0.051413881748072
"CLAYTON",2012,"RIVERDALE 4",1004,44.1124780316344,71,3.1195079086116,1201,52.768014059754,0,0
"CLAYTON",2012,"RIVERDALE 5",660,39.8550724637681,38,2.29468599033816,958,57.8502415458937,0,0
"CLAYTON",2012,"RIVERDALE 6",819,51.4124293785311,64,4.01757689893283,710,44.5699937225361,0,0
"CLAYTON",2012,"RIVERDALE 7",584,52.5179856115108,26,2.33812949640288,500,44.9640287769784,2,0.179856115107914
"CLAYTON",2012,"RIVERDALE 8",611,35.3383458646617,66,3.81723539618276,1052,60.8444187391556,0,0
"CLAYTON",2012,"RIVERDALE 9",706,46.4473684210526,41,2.69736842105263,773,50.8552631578947,0,0
"CLAYTON",2012,"RIVERDALE 10",634,49.1092176607281,15,1.16189000774593,642,49.7288923315259,0,0
"CLAYTON",2012,"RIVERDALE 11",453,38.0352644836272,38,3.19059613769941,699,58.6901763224181,1,0.0839630562552477
"CLAYTON",2012,"RIVERDALE 12",714,39.7107897664071,82,4.56062291434928,1002,55.7285873192436,0,0
"COBB",2012,"Acworth 1A",1625,56.0731538992409,162,5.59006211180124,1105,38.1297446514838,6,0.20703933747412
"COBB",2012,"Acworth 1B",1491,59.1666666666667,189,7.5,837,33.2142857142857,3,0.119047619047619
"COBB",2012,"Acworth 1C",1587,61.8472330475448,127,4.94933749025721,845,32.9306313328137,7,0.272798129384256
"COBB",2012,"Addison 01",965,64.034505640345,107,7.10019907100199,432,28.6662242866622,3,0.19907100199071
"COBB",2012,"Austell 1A",1282,52.1774521774522,117,4.76190476190476,1054,42.8978428978429,4,0.162800162800163
"COBB",2012,"Bells Ferry 02",1249,63.8548057259714,147,7.51533742331288,557,28.4764826175869,3,0.153374233128834
"COBB",2012,"Bells Ferry 03",1988,55.7956777996071,272,7.63401627841706,1293,36.2896435587988,10,0.280662363177098
"COBB",2012,"Big Shanty 01",1014,66.5791201575837,98,6.43466841759685,410,26.9205515430072,1,0.0656598818122127
"COBB",2012,"Big Shanty 02",1298,65.489404641776,169,8.52674066599394,514,25.933400605449,1,0.0504540867810293
"COBB",2012,"Baker 01",1699,66.3153786104606,143,5.5815768930523,717,27.9859484777518,3,0.117096018735363
"COBB",2012,"Birney 01",841,58.6062717770035,111,7.73519163763066,476,33.1707317073171,7,0.48780487804878
"COBB",2012,"Birney 02",1229,51.5088013411568,221,9.26236378876781,932,39.0611902766136,4,0.167644593461861
"COBB",2012,"Bryant 01",427,32.3239969719909,43,3.2551097653293,851,64.4208932626798,0,0
"COBB",2012,"Bryant 02",1189,45.2091254752852,79,3.00380228136882,1353,51.4448669201521,9,0.342205323193916
"COBB",2012,"Blackwell 01",926,60.2472348731295,103,6.70136629798308,503,32.726089785296,5,0.325309043591412
